Process,Orthogroup_ID,ration Ka/Ks,Selection,hit_desc,Pfam_desc,IPR_desc
AA_metabolism,OG0000928,"0,255673114",conserve,"Probable_glutamate--tRNA_ligase,_mitochondrial","FAD binding domain in molybdopterin dehydrogenase|CO dehydrogenase flavoprotein C-terminal domain|Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain|[2Fe-2S] binding domain|Molybdopterin-binding domain of aldehyde dehydrogenase","Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead|CO dehydrogenase flavoprotein, C-terminal|2Fe-2S ferredoxin, iron-sulphur binding site|Beta-grasp domain superfamily|FAD-binding domain, PCMH-type|FAD-binding, type PCMH, subdomain 1|FAD-binding, type PCMH, subdomain 2|Aldehyde oxidase/xanthine dehydrogenase-like|2Fe-2S ferredoxin-like superfamily|FAD-binding, type PCMH-like superfamily|CO dehydrogenase flavoprotein, C-terminal domain superfamily|Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead superfamily|[2Fe-2S]-binding domain superfamily|Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding domain superfamily"
AA_metabolism,OG0000937,1,neutre,S-adenosylmethionine_synthase,"S-adenosylmethionine synthetase, N-terminal domain|S-adenosylmethionine synthetase, C-terminal domain|S-adenosylmethionine synthetase, central domain","S-adenosylmethionine synthetase|S-adenosylmethionine synthetase, conserved site|S-adenosylmethionine synthetase superfamily"
AA_metabolism,OG0001202,"0,1891399305",conserve,glutamate_dehydrogenase_[NAD(P)(+)]_(Fragment),"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase|Glu/Leu/Phe/Val dehydrogenase, dimerisation domain","Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase|Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal|Leu/Phe/Val dehydrogenases active site|NAD(P) binding domain of glutamate dehydrogenase|NAD(P)-binding domain superfamily"
AA_metabolism,OG0002185,1,neutre,3-hydroxyacyl-CoA_dehydrogenase,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain|3-hydroxyacyl-CoA dehydrogenase, C-terminal domain","3-hydroxyacyl-CoA dehydrogenase, conserved site|6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily|6-phosphogluconate dehydrogenase, domain 2|3-hydroxyacyl-CoA dehydrogenase|NAD(P)-binding domain superfamily"
AA_metabolism,OG0002185,1,neutre,3-hydroxyacyl-CoA_dehydrogenase,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain|3-hydroxyacyl-CoA dehydrogenase, C-terminal domain","3-hydroxyacyl-CoA dehydrogenase, conserved site|6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily|6-phosphogluconate dehydrogenase, domain 2|3-hydroxyacyl-CoA dehydrogenase|NAD(P)-binding domain superfamily"
AA_metabolism,OG0002185,1,neutre,3-hydroxyacyl-CoA_dehydrogenase,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain|3-hydroxyacyl-CoA dehydrogenase, C-terminal domain","3-hydroxyacyl-CoA dehydrogenase, conserved site|6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily|6-phosphogluconate dehydrogenase, domain 2|3-hydroxyacyl-CoA dehydrogenase|NAD(P)-binding domain superfamily"
AA_metabolism,OG0002185,1,neutre,3-hydroxyacyl-CoA_dehydrogenase,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain|3-hydroxyacyl-CoA dehydrogenase, C-terminal domain","3-hydroxyacyl-CoA dehydrogenase, conserved site|6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily|6-phosphogluconate dehydrogenase, domain 2|3-hydroxyacyl-CoA dehydrogenase|NAD(P)-binding domain superfamily"
AA_metabolism,OG0002185,"0,2687912805",conserve,3-hydroxyacyl-CoA_dehydrogenase,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain|3-hydroxyacyl-CoA dehydrogenase, C-terminal domain","3-hydroxyacyl-CoA dehydrogenase, conserved site|6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily|6-phosphogluconate dehydrogenase, domain 2|3-hydroxyacyl-CoA dehydrogenase|NAD(P)-binding domain superfamily"
AA_metabolism,OG0002185,"0,2658831291",conserve,3-hydroxyacyl-CoA_dehydrogenase,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain|3-hydroxyacyl-CoA dehydrogenase, C-terminal domain","3-hydroxyacyl-CoA dehydrogenase, conserved site|6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily|6-phosphogluconate dehydrogenase, domain 2|3-hydroxyacyl-CoA dehydrogenase|NAD(P)-binding domain superfamily"
AA_metabolism,OG0002418,1,neutre,Branched-chain-amino-acid_aminotransferase_(Fragment),Amino-transferase class IV,"Branched-chain amino acid aminotransferase II|Aminotransferase, class IV, conserved site|Branched-chain aminotransferase|Aminotransferase-like, PLP-dependent enzymes|Branched-chain-amino-acid aminotransferase-like, N-terminal|Branched-chain-amino-acid aminotransferase-like, C-terminal"
AA_metabolism,OG0003035,1,neutre,Glycine_cleavage_system_H_protein,Glycine cleavage H-protein,"Biotin/lipoyl attachment|Glycine cleavage system H-protein|2-oxo acid dehydrogenase, lipoyl-binding site|Single hybrid motif|Glycine cleavage system H-protein, subgroup|Glycine cleavage system H-protein/Simiate"
AA_metabolism,OG0003874,"0,2057897341",conserve,Dihydropteridine_reductase,short chain dehydrogenase,"Short-chain dehydrogenase/reductase SDR|Short-chain dehydrogenase/reductase, conserved site|NAD(P)-binding domain superfamily"
AA_metabolism,OG0003957,1,neutre,Isochorismatase-like_domain-containing_protein,Isochorismatase family,Isochorismatase-like superfamily
AA_metabolism,OG0004640,"0,2294981417",conserve,Phosphoethanolamine_N-methyltransferase_3,Methyltransferase domain,S-adenosyl-L-methionine-dependent methyltransferase superfamily
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,1,neutre,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,"0,4628918433",conserve,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,"0,2988294263",conserve,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,"0,2763423866",conserve,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,"0,2647629003",conserve,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,"0,2343387391",conserve,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,"0,2153386758",conserve,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000011,"0,2055448857",conserve,Carboxylic_ester_hydrolase,Carboxylesterase family,"Carboxylesterase type B, active site|Alpha/Beta hydrolase fold|Endochitinase-like superfamily"
Cuticule,OG0000047,1,neutre,(salmon_louse)_hypothetical_protein,Chitin binding Peritrophin-A domain,Chitin binding domain|Chitin binding domain superfamily
Cuticule,OG0004845,1,neutre,Cbd-1,Chitin binding Peritrophin-A domain|Chitin binding Peritrophin-A domain|Chitin binding Peritrophin-A domain,Chitin binding domain|Chitin binding domain superfamily
Cuticule,OG0004845,1,neutre,Cbd-1,Chitin binding Peritrophin-A domain|Chitin binding Peritrophin-A domain|Chitin binding Peritrophin-A domain,Chitin binding domain|Chitin binding domain superfamily
Cuticule,OG0004845,"0,2242997086",conserve,Cbd-1,Chitin binding Peritrophin-A domain|Chitin binding Peritrophin-A domain|Chitin binding Peritrophin-A domain,Chitin binding domain|Chitin binding domain superfamily
CytoSk,OG0000017,"0,2813857289",conserve,Myosin_motor_domain-containing_protein_(Fragment),Myosin tail,"DNA repair protein XRCC4-like, C-terminal"
CytoSk,OG0000055,1,neutre,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,1,neutre,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,1,neutre,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,1,neutre,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,1,neutre,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,1,neutre,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,1,neutre,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,"0,2839354481",conserve,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,"0,2430954799",conserve,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,"0,2315113166",conserve,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,"0,2315033007",conserve,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,"0,207191945",conserve,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,"0,1841631989",conserve,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,"0,1756445432",conserve,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000055,"0,1725049168",conserve,"Calmodulin_3b_(Phosphorylase_kinase,_delta)",EF-hand domain pair|EF-hand domain pair,"EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|"
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,1,neutre,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,"0,2270897386",conserve,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000274,"0,2024612454",conserve,Troponin_T_(Fragment),Troponin,Troponin T|Troponin domain superfamily
CytoSk,OG0000781,"2,644082598",positive,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"1,171967685",neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"1,135497897",neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,1,neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,8990680448",neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,8990680448",neutre,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,4357153776",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,3451754205",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,3413052439",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,3413052439",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,3413052439",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,3413052439",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,3368206123",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,3095761135",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,3095761135",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,3028236782",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,291961266",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,2900805751",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,2745417909",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,2695813083",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,2695813083",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,2530751565",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
CytoSk,OG0000781,"0,2407618366",conserve,-,-,Actin-crosslinking|Kelch-type beta propeller
